alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.912646208406,0.951670247759,0.747007999648,0.747007999648
2.0,0.912060541205,0.95106607544,0.746413020858,0.746413020858
3.0,0.911876542482,0.950808053595,0.746239185663,0.746239185663
4.0,0.911769947008,0.950673230657,0.746130331614,0.746130331614
5.0,0.911755017961,0.950633755205,0.746066506557,0.746066506557
6.0,0.911531704519,0.95042325855,0.74590611267,0.74590611267
7.0,0.911282387372,0.950160696116,0.745583403509,0.745583403509
8.0,0.911273654838,0.950143708787,0.745580677653,0.745580677653
9.0,0.911370544595,0.950233074269,0.745604645704,0.745604645704
10.0,0.911218144297,0.950067623386,0.745386168333,0.745386168333
11.0,0.911160361151,0.95003510239,0.745313529448,0.745313529448
12.0,0.911010362751,0.949867014058,0.7450283745,0.7450283745
13.0,0.910944009056,0.94989434338,0.745144112762,0.745144112762
14.0,0.910867132694,0.949776739222,0.745189202505,0.745189202505
15.0,0.910989521595,0.949989021243,0.745365510834,0.745365510834
16.0,0.911045377569,0.950086760547,0.745431204474,0.745431204474
17.0,0.911129825556,0.950187269886,0.745603778184,0.745603778184
