Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,258,2231,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,270,2257,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,267,2271,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,246,2302,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,283,2292,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,49944,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,53546,0.8791137469108787,0.9189078094910166,189,1890,1890,1.0,0.9538122047302446,0.7260681944050354,0.7260681944050352
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,53658,0.9147853641082466,0.946695278672067,189,1890,1890,1.0,0.9496496006419035,0.7546509450052942,0.7546509450052946
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,54354,0.9264631289503259,0.9641876152612374,189,1890,1890,1.0,0.9493628689766787,0.7607790100341795,0.7607790100341799
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,0,54409,0.8785161715412328,0.916780285628075,188,1880,1880,1.0,0.9502603607259291,0.7229037606674529,0.7229037606674528
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,1,48038,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,51045,0.9174039465912573,0.9492850810814821,189,1890,1890,1.0,0.9489333440059514,0.7576357713746884,0.7576357713746882
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,0,51244,0.8811813764947861,0.920991657963485,189,1890,1890,1.0,0.9530005622689736,0.7276158620605314,0.7276158620605312
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,51122,0.9262848608293119,0.9638611968534566,189,1890,1890,1.0,0.9500540493937624,0.759839031123747,0.7598390311237465
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,51121,0.8827636417247624,0.9218235405070967,188,1880,1880,1.0,0.9495778788465111,0.7260944145782582,0.7260944145782584
