Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml-100k/u.data,1,432,8812,0.9341994202138667,0.9564702173522325
regular,ml-100k/u.data,1,3,1836,0.9330904606699415,0.9557817500757025
diffusion_norm,ml-100k/u.data,1,1,8032,0.9332573621590377,0.9558755151286118


diffusion,ml-100k/u.data,3,204,7857,0.9004947860901658,0.8945021606406057
regular,ml-100k/u.data,3,2,1749,0.9020750195085643,0.896374797606435
diffusion_norm,ml-100k/u.data,3,2,7905,0.9002222106209782,0.8942968092115473


diffusion,ml-100k/u.data,0,169,8239,0.9009385213503397,0.925469668074099
regular,ml-100k/u.data,0,3,1869,0.9016992721372038,0.9267672360770841
diffusion_norm,ml-100k/u.data,0,1,8089,0.9014047382044289,0.9266866722292046


diffusion,ml-100k/u.data,2,207,8283,0.912787118712485,0.909387996705408
regular,ml-100k/u.data,2,2,1936,0.912763567482607,0.9094640900106932
diffusion_norm,ml-100k/u.data,2,1,8628,0.9128895569442385,0.9091838796631031


diffusion,ml-100k/u.data,4,208,8351,0.9303830904225442,0.9333565904793802
regular,ml-100k/u.data,4,2,1908,0.9316416990366547,0.9336253188118527
diffusion_norm,ml-100k/u.data,4,1,8282,0.9299681897136692,0.9328002139143515
